"id","country","geolocation","level","adm1","location","disastertype","continent"
218,"Madagascar","-18.149200, 49.402340",3,"toamasina","mananara-north","storm","Africa"
219,"Madagascar","-19.050000, 46.866670",3,"fianarantsoa","mananjary","storm","Africa"
220,"Madagascar","-18.149200, 49.402340",3,"toamasina","maroentsetra","storm","Africa"
221,"Madagascar","-18.149200, 49.402340",3,"toamasina","moramanga","storm","Africa"
222,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","nosy varika","storm","Africa"
223,"Madagascar","-16.926121, 49.587117",3,"toamasina","soanierana-ivongo","storm","Africa"
224,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","vohipeno","storm","Africa"
225,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","ambohigogo","storm","Africa"
226,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","ifaniana district","storm","Africa"
227,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","ikongo","storm","Africa"
228,"Madagascar","-19.050000, 46.866670",3,"fianarantsoa","mananjary","storm","Africa"
229,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","nosy varika district","storm","Africa"
230,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","nosy varija","storm","Africa"
231,"Madagascar","-23.493480, 47.449950",3,"fianarantsoa","vangaiondrano district","storm","Africa"
232,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","vohipeno","storm","Africa"
233,"Madagascar","-12.289318, 49.293052",3,"antsiranana","antalaha","storm","Africa"
234,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","befotaka","storm","Africa"
235,"Madagascar","-23.350000, 43.666670",3,"toliary","bekily","storm","Africa"
236,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","farafangana","storm","Africa"
237,"Madagascar","-18.149200, 49.402340",3,"toamasina","fenoarivo","storm","Africa"
238,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","iakora","storm","Africa"
239,"Madagascar","-15.709748, 46.316553",3,"mahajanga","mampikony","storm","Africa"
240,"Madagascar","-18.149200, 49.402340",3,"toamasina","mananara","storm","Africa"
241,"Madagascar","-19.050000, 46.866670",3,"fianarantsoa","mananjary","storm","Africa"
242,"Madagascar","-16.033957, 48.736524",3,"mahajanga","mandritsara","storm","Africa"
243,"Madagascar","-23.350000, 43.666670",3,"toliary","manja","storm","Africa"
244,"Madagascar","-15.430878, 49.758271",3,"toamasina","maroantsetra","storm","Africa"
245,"Madagascar","-19.163005, 45.369048",3,"toliary","miandrivazo","storm","Africa"
246,"Madagascar","-15.716150, 46.321030",3,"mahajanga","morafenobe","storm","Africa"
247,"Madagascar","-15.709748, 46.316553",3,"mahajanga","soalala","storm","Africa"
248,"Madagascar","-16.926121, 49.587117",3,"toamasina","soanierana ivongo","storm","Africa"
249,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","vangaindrano","storm","Africa"
250,"Madagascar","-17.466554, 49.196219",3,"toamasina","vavatenina","storm","Africa"
251,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","vohipeno","storm","Africa"
252,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","vondrozo","storm","Africa"
